Order_Item_ID,Order_ID,Product_ID,Quantity
OI0001,OR01,AC11,3
OI0002,OR01,B68,3
OI0003,OR01,MP57,1
OI0004,OR02,MI11,1
OI0005,OR02,HF77,2
OI0006,OR03,JA5,3
OI0007,OR03,HK2,3
OI0008,OR03,MP64,1
OI0009,OR03,AC25,1
OI0010,OR03,TL21,3
OI0011,OR04,MI80,1
OI0012,OR04,JA26,3
OI0013,OR04,FA8,1
OI0014,OR04,HK67,2
OI0015,OR04,E36,1
OI0016,OR05,HK96,2
OI0017,OR06,MI6,2
OI0018,OR06,B62,2
OI0019,OR07,B93,1
OI0020,OR07,GG13,2
OI0021,OR07,HF46,1
OI0022,OR07,CP19,3
OI0023,OR07,SF53,3
OI0024,OR08,HF59,1
OI0025,OR08,FD100,3
OI0026,OR09,TG66,1
OI0027,OR09,HA34,1
OI0028,OR09,GG20,1
OI0029,OR10,AI98,1
OI0030,OR10,HF27,2
OI0031,OR10,FA96,2
OI0032,OR10,HA67,2
OI0033,OR11,MI10,1
OI0034,OR12,W87,3
OI0035,OR13,BS6,3
OI0036,OR14,HK69,3
OI0037,OR14,MP92,1
OI0038,OR14,AC88,2
OI0039,OR15,MI95,1
OI0040,OR15,HF68,3
OI0041,OR16,E72,1
OI0042,OR16,BP42,3
OI0043,OR16,W11,3
OI0044,OR16,CL6,1
OI0045,OR17,HF33,2
OI0046,OR17,FA94,1
OI0047,OR17,MP28,1
OI0048,OR17,AI52,1
OI0049,OR17,PS74,2
OI0050,OR18,BP62,2
OI0051,OR19,BP10,2
OI0052,OR20,MP51,1
OI0053,OR21,E10,3
OI0054,OR21,MI57,3
OI0055,OR21,FD41,2
OI0056,OR22,GO36,2
OI0057,OR22,MP85,1
OI0058,OR22,PS27,1
OI0059,OR22,E88,2
OI0060,OR23,TG54,3
OI0061,OR23,BS84,1
OI0062,OR24,AI56,1
OI0063,OR24,GO9,1
OI0064,OR24,TG62,1
OI0065,OR24,W75,1
OI0066,OR25,HK91,2
OI0067,OR26,GO32,1
OI0068,OR27,CP53,2
OI0069,OR27,FD79,1
OI0070,OR27,SF42,1
OI0071,OR27,GO66,3
OI0072,OR27,HA21,1
OI0073,OR27,CL90,1
OI0074,OR28,AC41,3
OI0075,OR28,AI87,1
OI0076,OR28,GO44,3
OI0077,OR28,FD28,1
OI0078,OR29,W72,3
OI0079,OR29,SF62,3
OI0080,OR29,PS14,3
OI0081,OR30,BS52,1
OI0082,OR30,MP35,1
OI0083,OR30,AI36,1
OI0084,OR30,BS41,1
OI0085,OR31,CP52,1
OI0086,OR31,CP67,2
OI0087,OR31,FD76,1
OI0088,OR32,TL75,3
OI0089,OR33,AI18,1
OI0090,OR34,FA27,2
OI0091,OR34,MI20,1
OI0092,OR34,F14,2
OI0093,OR34,MP63,1
OI0094,OR35,GO87,3
OI0095,OR35,FD42,3
OI0096,OR35,TG13,1
OI0097,OR35,B88,1
OI0098,OR35,E97,1
OI0099,OR35,GG44,1
OI0100,OR36,BS18,1
OI0101,OR37,F17,2
OI0102,OR37,E92,1
OI0103,OR37,MI12,1
OI0104,OR37,GO56,2
OI0105,OR38,HF82,2
OI0106,OR38,PS27,3
OI0107,OR38,PS28,3
OI0108,OR38,SF43,3
OI0109,OR38,HK23,2
OI0110,OR38,BP103,3
OI0111,OR39,FD3,3
OI0112,OR39,F5,3
OI0113,OR40,FA80,3
OI0114,OR40,SF88,3
OI0115,OR40,B97,1
OI0116,OR40,MI29,1
OI0117,OR41,CL78,1
OI0118,OR42,CL81,1
OI0119,OR43,SF56,1
OI0120,OR44,HA48,2
OI0121,OR45,JA46,2
OI0122,OR46,HF71,1
OI0123,OR47,AC53,2
OI0124,OR48,MP40,1
OI0125,OR49,MI71,3
OI0126,OR50,HK25,2
OI0127,OR51,FD74,2
OI0128,OR52,MP20,1
OI0129,OR53,TG82,1
OI0130,OR54,GO82,3
OI0131,OR55,W33,3
OI0132,OR56,GO16,3
OI0133,OR57,TL17,1
OI0134,OR58,GO73,3
OI0135,OR59,MI42,1
OI0136,OR60,BP89,1
OI0137,OR61,GO17,3
OI0138,OR61,AI77,1
OI0139,OR61,BP92,3
OI0140,OR62,HA35,2
OI0141,OR62,W59,2
OI0142,OR62,HA81,1
OI0143,OR63,HF40,3
OI0144,OR63,AC69,1
OI0145,OR63,HF10,3
OI0146,OR64,AC40,2
OI0147,OR64,BS46,2
OI0148,OR64,HK79,1
OI0149,OR65,AI100,1
OI0150,OR65,BP75,3
OI0151,OR65,SF76,1
OI0152,OR66,JA95,3
OI0153,OR66,W93,1
OI0154,OR66,BS72,3
OI0155,OR67,HF89,1
OI0156,OR67,FD28,1
OI0157,OR67,AI89,1
OI0158,OR68,JA83,3
OI0159,OR68,MP11,1
OI0160,OR68,HK11,3
OI0161,OR69,CL82,1
OI0162,OR69,CL15,1
OI0163,OR69,AC70,3
OI0164,OR69,MP18,1
OI0165,OR70,JA45,1
OI0166,OR70,GO27,3
OI0167,OR71,E7,3
OI0168,OR72,B63,1
OI0169,OR73,JA75,1
OI0170,OR74,HA66,1
OI0171,OR75,HA2,1
OI0172,OR76,HK7,1
OI0173,OR76,SF72,2
OI0174,OR77,TG43,2
OI0175,OR77,GO43,3
OI0176,OR77,JA68,1
OI0177,OR78,CL55,1
OI0178,OR78,F72,3
OI0179,OR79,CP65,3
OI0180,OR79,FD89,3
OI0181,OR79,FD92,2
OI0182,OR80,JA50,3
OI0183,OR80,W30,1
OI0184,OR81,W38,3
OI0185,OR81,GO29,1
OI0186,OR82,SF79,3
OI0187,OR82,CP23,1
OI0188,OR83,HA40,2
OI0189,OR83,AI61,1
OI0190,OR83,W68,2
OI0191,OR84,W64,1
OI0192,OR84,BP17,1
OI0193,OR85,AC3,1
OI0194,OR85,E31,1
OI0195,OR85,SF80,2
OI0196,OR86,CP6,1
OI0197,OR86,GG8,2
OI0198,OR86,TL13,3
OI0199,OR86,AC17,2
OI0200,OR87,E41,3
OI0201,OR88,HA34,3
OI0202,OR89,B47,2
OI0203,OR90,TL87,1
OI0204,OR91,MI93,3
OI0205,OR92,AI24,1
OI0206,OR93,HK82,3
OI0207,OR94,AC22,3
OI0208,OR95,BP21,1
OI0209,OR96,W84,3
OI0210,OR97,CP92,2
OI0211,OR98,GG93,1
OI0212,OR99,FD21,1
OI0213,OR100,PS53,1
OI0214,OR101,AC52,2
OI0215,OR101,GG25,3
OI0216,OR101,E25,2
OI0217,OR102,FD13,3
OI0218,OR102,TG33,2
OI0219,OR102,TL83,2
OI0220,OR102,FA27,3
OI0221,OR103,JA32,2
OI0222,OR103,F79,3
OI0223,OR103,W31,3
OI0224,OR103,GG51,3
OI0225,OR104,AC35,2
OI0226,OR104,F60,2
OI0227,OR104,W59,2
OI0228,OR104,MI39,1
OI0229,OR104,GO98,2
OI0230,OR105,AI28,1
OI0231,OR106,W34,3
OI0232,OR106,SF23,2
OI0233,OR106,PS22,2
OI0234,OR106,TG61,2
OI0235,OR107,MI50,1
OI0236,OR107,PS3,3
OI0237,OR107,SF93,3
OI0238,OR107,W87,1
OI0239,OR107,TG73,2
OI0240,OR108,W11,2
OI0241,OR108,GO71,1
OI0242,OR108,F2,1
OI0243,OR108,CP75,1
OI0244,OR108,BS57,1
OI0245,OR109,HF5,2
OI0246,OR109,B35,1
OI0247,OR110,B92,2
OI0248,OR110,FA45,2
OI0249,OR110,W63,2
OI0250,OR110,GG45,3
OI0251,OR111,FD36,3
OI0252,OR111,GO88,2
OI0253,OR111,F64,3
OI0254,OR112,MP26,1
OI0255,OR112,GO91,2
OI0256,OR112,MP43,1
OI0257,OR112,W70,1
OI0258,OR113,BP49,3
OI0259,OR113,BP45,1
OI0260,OR113,E73,1
OI0261,OR114,FA86,1
OI0262,OR114,BP29,3
OI0263,OR114,BS51,2
OI0264,OR115,B52,1
OI0265,OR115,PS11,1
OI0266,OR115,E18,1
OI0267,OR116,FD41,1
OI0268,OR116,TG70,1
OI0269,OR116,FD14,1
OI0270,OR117,AC38,2
OI0271,OR117,B62,2
OI0272,OR117,CL30,1
OI0273,OR118,FA68,1
OI0274,OR118,TG60,2
OI0275,OR118,HK63,3
OI0276,OR119,E59,2
OI0277,OR119,TL41,1
OI0278,OR120,GO52,2
OI0279,OR120,SF51,3
OI0280,OR120,F98,3
OI0281,OR120,FA5,1
OI0282,OR121,TL57,1
OI0283,OR121,CP43,3
OI0284,OR122,MI52,1
OI0285,OR122,GO67,3
OI0286,OR122,BP26,1
OI0287,OR122,TL60,2
OI0288,OR123,BP9,1
OI0289,OR123,F63,2
OI0290,OR123,HA19,2
OI0291,OR123,F76,1
OI0292,OR123,BS38,3
OI0293,OR124,E67,1
OI0294,OR125,FA43,3
OI0295,OR125,MP33,1
OI0296,OR125,AI50,1
OI0297,OR126,TG18,1
OI0298,OR126,CP40,1
OI0299,OR126,FD98,1
OI0300,OR126,SF32,1
OI0301,OR126,AI28,1
OI0302,OR127,JA66,2
OI0303,OR127,HK44,2
OI0304,OR127,E17,1
OI0305,OR128,HF92,1
OI0306,OR128,FD36,1
OI0307,OR128,TL58,3
OI0308,OR129,TL30,3
OI0309,OR129,CP34,2
OI0310,OR129,B96,2
OI0311,OR129,MP17,1
OI0312,OR129,E71,3
OI0313,OR130,MI8,3
OI0314,OR130,B45,3
OI0315,OR131,PS45,3
OI0316,OR131,CP14,1
OI0317,OR131,BP66,1
OI0318,OR132,BP18,2
OI0319,OR132,FD69,3
OI0320,OR133,JA25,1
OI0321,OR133,AC36,2
OI0322,OR133,PS61,2
OI0323,OR133,TG54,2
OI0324,OR134,CP82,2
OI0325,OR134,SF57,1
OI0326,OR134,F53,3
OI0327,OR134,CP43,3
OI0328,OR135,GO56,3
OI0329,OR135,B24,3
OI0330,OR135,HF87,2
OI0331,OR135,HK37,1
OI0332,OR136,CP37,2
OI0333,OR136,SF69,3
OI0334,OR136,TG1,1
OI0335,OR137,HK98,2
OI0336,OR137,HK10,3
OI0337,OR137,HA12,3
OI0338,OR137,TL76,1
OI0339,OR137,TL29,1
OI0340,OR138,HA17,3
OI0341,OR138,TL39,2
OI0342,OR138,AC82,2
OI0343,OR138,HF100,1
OI0344,OR138,CL70,1
OI0345,OR139,HA76,3
OI0346,OR139,AC45,3
OI0347,OR139,F21,3
OI0348,OR139,W94,2
OI0349,OR140,HF22,3
OI0350,OR140,TG83,1
OI0351,OR140,JA5,3
OI0352,OR141,B32,2
OI0353,OR141,B55,3
OI0354,OR141,MI75,1
OI0355,OR141,E19,3
OI0356,OR142,PS11,3
OI0357,OR142,BP9,1
OI0358,OR142,F44,1
OI0359,OR143,GG73,2
OI0360,OR143,PS33,3
OI0361,OR143,GG8,2
OI0362,OR143,TG77,1
OI0363,OR143,HA81,1
OI0364,OR144,HK90,3
OI0365,OR144,MP86,1
OI0366,OR144,SF32,3
OI0367,OR144,B103,3
OI0368,OR144,AC86,1
OI0369,OR145,HK68,3
OI0370,OR145,GG20,1
OI0371,OR145,HF55,1
OI0372,OR145,HA99,1
OI0373,OR145,FD67,1
OI0374,OR146,PS40,2
OI0375,OR146,BS74,1
OI0376,OR146,FD2,1
OI0377,OR146,JA3,1
OI0378,OR147,TL79,2
OI0379,OR147,TG60,2
OI0380,OR147,BP34,2
OI0381,OR148,TG99,3
OI0382,OR148,GG52,1
OI0383,OR148,F4,1
OI0384,OR148,CL40,1
OI0385,OR148,PS74,3
OI0386,OR149,FD19,3
OI0387,OR150,HK14,3
OI0388,OR150,HA74,1
OI0389,OR150,BP2,1
OI0390,OR151,GG46,1
OI0391,OR151,W61,1
OI0392,OR151,B77,3
OI0393,OR152,TL23,2
OI0394,OR152,HF38,3
OI0395,OR153,HF97,1
OI0396,OR153,W22,2
OI0397,OR153,HA30,1
OI0398,OR153,CP1,3
OI0399,OR154,TG74,2
OI0400,OR155,TG74,2
OI0401,OR155,AC69,3
OI0402,OR155,CL67,1
OI0403,OR156,HA14,3
OI0404,OR156,F60,3
OI0405,OR157,MP92,1
OI0406,OR157,BP43,1
OI0407,OR158,E71,3
OI0408,OR158,AC62,1
OI0409,OR158,CP18,1
OI0410,OR158,MI35,3
OI0411,OR158,E18,2
OI0412,OR159,MP60,1
OI0413,OR159,HF20,2
OI0414,OR159,MP86,1
OI0415,OR160,GG3,1
OI0416,OR161,HF26,3
OI0417,OR161,GO59,1
OI0418,OR161,CP2,3
OI0419,OR161,F73,2
OI0420,OR161,BS78,3
OI0421,OR162,E25,3
OI0422,OR162,MP62,1
OI0423,OR163,BP75,3
OI0424,OR163,BS27,3
OI0425,OR164,CP31,3
OI0426,OR164,HF96,1
OI0427,OR164,HF16,3
OI0428,OR164,MP24,1
OI0429,OR165,AC3,1
OI0430,OR165,TL82,1
OI0431,OR165,TL92,2
OI0432,OR166,HF58,3
OI0433,OR166,HK89,2
OI0434,OR167,GG79,1
OI0435,OR167,CL87,1
OI0436,OR168,E12,3
OI0437,OR168,CL37,1
OI0438,OR168,CP26,1
OI0439,OR169,W71,3
OI0440,OR169,BS99,3
OI0441,OR169,E64,1
OI0442,OR169,HK52,1
OI0443,OR169,BP32,1
OI0444,OR170,W47,1
OI0445,OR170,FD28,1
OI0446,OR170,HF68,2
OI0447,OR170,JA18,1
OI0448,OR170,GG68,2
OI0449,OR171,HA21,1
OI0450,OR171,GG43,3
OI0451,OR172,CP9,3
OI0452,OR172,E59,2
OI0453,OR172,CL16,1
OI0454,OR172,SF26,2
OI0455,OR172,TL67,3
OI0456,OR173,TG58,3
OI0457,OR173,GG99,3
OI0458,OR174,TG95,1
OI0459,OR174,MI81,3
OI0460,OR174,SF34,1
OI0461,OR175,BS89,2
OI0462,OR175,CP71,3
OI0463,OR175,GG17,1
OI0464,OR175,BP9,1
OI0465,OR176,HK11,2
OI0466,OR176,BP55,2
OI0467,OR176,W55,2
OI0468,OR177,AI22,1
OI0469,OR177,CP53,1
OI0470,OR177,E3,2
OI0471,OR178,B93,2
OI0472,OR179,W91,2
OI0473,OR179,AI23,1
OI0474,OR179,TL59,2
OI0475,OR179,JA33,2
OI0476,OR180,HA99,3
OI0477,OR180,FD64,3
OI0478,OR180,BP31,1
OI0479,OR181,GO32,2
OI0480,OR181,TG83,3
OI0481,OR181,PS95,1
OI0482,OR181,HF80,3
OI0483,OR181,GO73,2
OI0484,OR182,F57,3
OI0485,OR182,E81,2
OI0486,OR182,MI43,1
OI0487,OR182,E13,2
OI0488,OR182,TL64,2
OI0489,OR183,BS39,1
OI0490,OR183,CP40,2
OI0491,OR183,GO67,2
OI0492,OR184,MP2,1
OI0493,OR184,GG52,3
OI0494,OR184,SF25,2
OI0495,OR185,CL50,1
OI0496,OR185,BS8,3
OI0497,OR185,PS91,3
OI0498,OR185,SF62,2
OI0499,OR185,SF60,2
OI0500,OR186,FA20,1
OI0501,OR186,FD74,1
OI0502,OR187,PS52,3
OI0503,OR188,BS73,2
OI0504,OR188,CL81,1
OI0505,OR188,MI46,2
OI0506,OR188,FA56,1
OI0507,OR188,B75,2
OI0508,OR189,HA2,1
OI0509,OR190,JA4,3
OI0510,OR190,HK23,3
OI0511,OR190,F22,1
OI0512,OR190,HK63,2
OI0513,OR191,AI43,1
OI0514,OR191,GG20,1
OI0515,OR192,W24,3
OI0516,OR192,FD57,3
OI0517,OR193,PS98,1
OI0518,OR193,BS66,2
OI0519,OR193,SF72,1
OI0520,OR194,CL76,1
OI0521,OR194,F71,2
OI0522,OR194,HK74,2
OI0523,OR194,FD49,3
OI0524,OR194,FA64,3
OI0525,OR195,HF9,2
OI0526,OR195,FD90,3
OI0527,OR195,TL68,3
OI0528,OR195,AI62,1
OI0529,OR195,TG87,3
OI0530,OR196,BP5,3
OI0531,OR196,HA63,3
OI0532,OR196,MI20,1
OI0533,OR196,HA41,1
OI0534,OR196,E92,1
OI0535,OR197,CP33,2
OI0536,OR197,FD67,1
OI0537,OR197,B31,3
OI0538,OR197,FA101,2
OI0539,OR198,E22,1
OI0540,OR198,TG96,1
OI0541,OR199,AC21,1
OI0542,OR199,GG8,1
OI0543,OR199,F31,1
OI0544,OR200,MP72,1
OI0545,OR200,FA30,2
OI0546,OR201,TG19,1
OI0547,OR201,BP45,2
OI0548,OR202,PS51,3
OI0549,OR203,PS4,2
OI0550,OR203,CL66,1
OI0551,OR204,GO21,2
OI0552,OR204,E56,3
OI0553,OR204,AI61,1
OI0554,OR205,FD31,3
OI0555,OR206,AI82,1
OI0556,OR206,CL1,1
OI0557,OR206,JA24,1
OI0558,OR206,HK58,3
OI0559,OR207,F65,1
OI0560,OR207,E9,2
OI0561,OR208,GO39,1
OI0562,OR208,TL22,1
OI0563,OR208,MI4,2
OI0564,OR208,AC83,1
OI0565,OR208,W42,3
OI0566,OR209,FA76,1
OI0567,OR209,W50,2
OI0568,OR209,FA4,2
OI0569,OR210,FD53,2
OI0570,OR210,HF67,3
OI0571,OR210,JA51,3
OI0572,OR211,HF23,3
OI0573,OR211,HA81,3
OI0574,OR212,GO99,1
OI0575,OR213,BP101,2
OI0576,OR213,JA53,2
OI0577,OR213,SF6,1
OI0578,OR214,AI90,1
OI0579,OR214,HK4,1
OI0580,OR214,SF99,3
OI0581,OR215,GO40,3
OI0582,OR215,AI4,1
OI0583,OR215,CL64,1
OI0584,OR215,SF44,2
OI0585,OR215,MI82,3
OI0586,OR216,CL12,1
OI0587,OR216,HF81,3
OI0588,OR217,BP58,3
OI0589,OR217,AI66,1
OI0590,OR217,HA51,1
OI0591,OR218,AC78,1
OI0592,OR218,B53,3
OI0593,OR218,B66,1
OI0594,OR218,PS74,2
OI0595,OR218,HK49,2
OI0596,OR219,JA40,1
OI0597,OR219,HA94,2
OI0598,OR219,MI84,1
OI0599,OR219,AI38,1
OI0600,OR220,CL20,1
OI0601,OR220,TG39,3
OI0602,OR220,TG74,3
OI0603,OR221,MP42,1
OI0604,OR221,PS49,1
OI0605,OR221,FA50,3
OI0606,OR221,JA24,3
OI0607,OR221,SF31,1
OI0608,OR222,W24,2
OI0609,OR222,F52,3
OI0610,OR222,CP45,1
OI0611,OR223,HF15,3
OI0612,OR223,FD89,1
OI0613,OR223,MI57,3
OI0614,OR224,FD83,1
OI0615,OR224,TG10,2
OI0616,OR224,FD99,1
OI0617,OR224,HF57,3
OI0618,OR224,AI22,1
OI0619,OR225,MI50,2
OI0620,OR226,GO21,2
OI0621,OR226,MP72,1
OI0622,OR226,AI20,1
OI0623,OR226,FD7,2
OI0624,OR226,SF39,3
OI0625,OR227,TG32,2
OI0626,OR228,MP90,1
OI0627,OR228,HF38,1
OI0628,OR228,GO37,3
OI0629,OR228,B88,3
OI0630,OR229,JA23,1
OI0631,OR229,JA50,3
OI0632,OR230,AC27,1
OI0633,OR230,E81,3
OI0634,OR230,SF36,2
OI0635,OR231,HK22,1
OI0636,OR231,FD12,1
OI0637,OR231,E8,3
OI0638,OR231,HA22,2
OI0639,OR232,TG86,2
OI0640,OR232,HA80,2
OI0641,OR233,JA45,3
OI0642,OR233,B69,3
OI0643,OR233,E63,1
OI0644,OR234,AI17,1
OI0645,OR234,HF85,3
OI0646,OR234,CP50,3
OI0647,OR234,SF11,2
OI0648,OR234,BP1,1
OI0649,OR235,E10,1
OI0650,OR235,GG89,1
OI0651,OR235,GG77,2
OI0652,OR235,E20,2
OI0653,OR236,SF97,2
OI0654,OR236,HK31,3
OI0655,OR236,FD75,1
OI0656,OR236,W5,3
OI0657,OR236,F78,3
OI0658,OR237,BS72,2
OI0659,OR237,F17,3
OI0660,OR237,BS100,3
OI0661,OR238,MP25,1
OI0662,OR239,HF68,1
OI0663,OR239,FD80,1
OI0664,OR239,FD1,1
OI0665,OR239,CL46,1
OI0666,OR239,GO92,2
OI0667,OR240,FA105,2
OI0668,OR241,MP53,1
OI0669,OR241,TL77,2
OI0670,OR241,GG98,1
OI0671,OR241,HK35,3
OI0672,OR241,BS78,2
OI0673,OR242,BS29,2
OI0674,OR242,TG41,1
OI0675,OR242,PS45,2
OI0676,OR243,HK53,3
OI0677,OR243,FA73,3
OI0678,OR243,CL31,1
OI0679,OR244,GG88,1
OI0680,OR245,TG27,3
OI0681,OR245,CL45,1
OI0682,OR245,GG4,1
OI0683,OR245,GG71,3
OI0684,OR246,B92,2
OI0685,OR246,HF73,3
OI0686,OR246,GG15,1
OI0687,OR246,FA111,1
OI0688,OR247,AI28,1
OI0689,OR247,W92,2
OI0690,OR247,FA18,1
OI0691,OR248,HA97,3
OI0692,OR249,E31,2
OI0693,OR249,BS92,3
OI0694,OR250,PS12,3
OI0695,OR250,E21,2
OI0696,OR251,FA109,2
OI0697,OR251,FD81,3
OI0698,OR251,HK61,3
OI0699,OR251,HK82,1
OI0700,OR251,GG28,3
OI0701,OR252,TG86,1
OI0702,OR252,B12,3
OI0703,OR253,HF14,3
OI0704,OR254,AC94,2
OI0705,OR254,HK59,1
OI0706,OR254,E75,2
OI0707,OR254,FA40,1
OI0708,OR255,MP27,1
OI0709,OR255,HF35,2
OI0710,OR256,BP11,2
OI0711,OR256,CP4,3
OI0712,OR256,AC79,2
OI0713,OR256,AC25,3
OI0714,OR257,MP97,1
OI0715,OR257,CL77,1
OI0716,OR257,GO94,1
OI0717,OR258,MI69,1
OI0718,OR259,TL87,3
OI0719,OR260,MI97,2
OI0720,OR260,BS47,1
OI0721,OR260,MI67,2
OI0722,OR261,AI57,1
OI0723,OR261,MP37,1
OI0724,OR261,TL69,3
OI0725,OR261,CL87,1
OI0726,OR262,CL6,1
OI0727,OR263,HF81,2
OI0728,OR263,GG20,3
OI0729,OR264,CL14,1
OI0730,OR264,TL59,3
OI0731,OR265,AI80,1
OI0732,OR265,AC74,3
OI0733,OR265,FD53,1
OI0734,OR266,SF13,2
OI0735,OR266,FD99,3
OI0736,OR267,W5,1
OI0737,OR267,GO90,1
OI0738,OR267,MP44,1
OI0739,OR268,CP55,2
OI0740,OR268,BS85,2
OI0741,OR268,E102,3
OI0742,OR268,SF16,1
OI0743,OR269,B87,3
OI0744,OR270,CP90,2
OI0745,OR270,CP45,3
OI0746,OR270,MI83,3
OI0747,OR270,GO5,2
OI0748,OR271,TG6,2
OI0749,OR272,AI64,1
OI0750,OR272,HA99,3
OI0751,OR272,HK102,1
OI0752,OR273,TL20,2
OI0753,OR273,TL51,1
OI0754,OR273,PS9,1
OI0755,OR273,W93,3
OI0756,OR274,F97,2
OI0757,OR274,AC67,3
OI0758,OR274,BP66,2
OI0759,OR274,PS57,3
OI0760,OR275,B102,2
OI0761,OR275,GO9,2
OI0762,OR275,FA6,1
OI0763,OR276,GO4,2
OI0764,OR276,B27,2
OI0765,OR277,W49,2
OI0766,OR277,W54,3
OI0767,OR277,CL50,1
OI0768,OR277,AI30,1
OI0769,OR278,CL76,1
OI0770,OR279,PS61,2
OI0771,OR279,W77,2
OI0772,OR279,B18,3
OI0773,OR279,HK10,1
OI0774,OR279,AC69,3
OI0775,OR280,BP20,3
OI0776,OR281,JA4,2
OI0777,OR281,FA81,2
OI0778,OR282,GG56,1
OI0779,OR282,AI18,1
OI0780,OR283,HK88,1
OI0781,OR283,HK34,3
OI0782,OR283,CP44,3
OI0783,OR283,PS38,3
OI0784,OR284,FD32,3
OI0785,OR285,F14,2
OI0786,OR285,BS64,1
OI0787,OR285,BS81,3
OI0788,OR286,W6,3
OI0789,OR286,F55,3
OI0790,OR286,PS32,2
OI0791,OR286,GO97,2
OI0792,OR286,F24,1
OI0793,OR287,CP94,1
OI0794,OR287,W73,2
OI0795,OR287,SF15,2
OI0796,OR288,HF6,2
OI0797,OR288,TL19,3
OI0798,OR288,HK77,2
OI0799,OR288,PS39,2
OI0800,OR289,CP17,3
OI0801,OR289,BS29,1
OI0802,OR289,TG98,3
OI0803,OR289,HK40,3
OI0804,OR289,HA38,3
OI0805,OR290,HF94,1
OI0806,OR291,CL10,1
OI0807,OR291,BS40,1
OI0808,OR291,FA63,1
OI0809,OR291,HF5,3
OI0810,OR292,BS2,2
OI0811,OR292,HK89,2
OI0812,OR292,HK13,2
OI0813,OR292,JA44,2
OI0814,OR292,CL38,1
OI0815,OR293,GO88,2
OI0816,OR293,TG12,1
OI0817,OR294,BS94,1
OI0818,OR294,AI11,1
OI0819,OR295,HK98,1
OI0820,OR295,GG72,2
OI0821,OR295,GG64,3
OI0822,OR295,F25,1
OI0823,OR296,BP24,1
OI0824,OR296,FD69,1
OI0825,OR296,PS42,3
OI0826,OR297,AC84,2
OI0827,OR297,JA14,3
OI0828,OR297,B1,3
OI0829,OR298,E43,2
OI0830,OR299,TL38,1
OI0831,OR299,F23,3
OI0832,OR300,BS17,3
OI0833,OR300,JA39,2
OI0834,OR300,AI83,1
OI0835,OR300,CP33,1
OI0836,OR301,FD23,2
OI0837,OR301,SF38,1
OI0838,OR301,CL3,1
OI0839,OR302,FD34,1
OI0840,OR302,HK70,2
OI0841,OR302,CL48,1
OI0842,OR302,HF33,2
OI0843,OR303,GO48,3
OI0844,OR304,E87,3
OI0845,OR304,AI59,1
OI0846,OR304,F92,3
OI0847,OR304,GO33,3
OI0848,OR304,FD54,3
OI0849,OR305,JA28,1
OI0850,OR306,CP29,3
OI0851,OR306,W79,1
OI0852,OR306,E59,1
OI0853,OR306,BS38,2
OI0854,OR306,B38,2
OI0855,OR307,MP13,1
OI0856,OR307,BP73,2
OI0857,OR307,PS53,3
OI0858,OR307,HF11,3
OI0859,OR308,MP31,1
OI0860,OR309,AC70,3
OI0861,OR309,BP35,2
OI0862,OR309,GO46,1
OI0863,OR310,SF39,1
OI0864,OR310,FA98,1
OI0865,OR311,MI81,3
OI0866,OR311,HK57,3
OI0867,OR311,E83,2
OI0868,OR311,FD37,2
OI0869,OR311,BS51,1
OI0870,OR312,AI54,1
OI0871,OR313,AI100,1
OI0872,OR313,CP5,2
OI0873,OR313,TG16,2
OI0874,OR314,MP77,1
OI0875,OR314,E93,3
OI0876,OR314,TG17,2
OI0877,OR314,JA30,1
OI0878,OR315,CP95,3
OI0879,OR315,JA85,3
OI0880,OR315,AI87,1
OI0881,OR316,CL82,1
OI0882,OR316,E29,1
OI0883,OR317,GO99,1
OI0884,OR318,F13,1
OI0885,OR318,FA12,2
OI0886,OR318,HF63,3
OI0887,OR319,CP93,1
OI0888,OR319,FD41,1
OI0889,OR319,HK33,3
OI0890,OR319,FD8,3
OI0891,OR319,HA67,3
OI0892,OR320,SF34,2
OI0893,OR320,W39,2
OI0894,OR320,FA43,2
OI0895,OR320,GG35,3
OI0896,OR320,JA82,1
OI0897,OR321,TL33,3
