Order_ID,Customer_ID,Order_Date,Order_Total,Order_Status
OR01,C0132,2024/01/21,3758.46,Processing
OR02,C1240,2023/11/30,61789.76,Refunded
OR03,C0933,2023/06/27,36299.59,Failed
OR04,C0464,2023/09/04,34317.26,Partially Delivered
OR05,C0901,2023/05/02,8257.64,Failed
OR06,C1851,2025/03/11,18380.14,Pending
OR07,C0249,2024/06/16,25514.22,Refunded
OR08,C0884,2024/11/20,31691.52,Refunded
OR09,C1864,2024/04/28,18562.58,Partially Shipped
OR10,C0691,2023/10/27,106755.86,On Hold
OR100,C0121,2022/06/15,390.88,Delivered
OR1000,C0988,2022/04/05,54108.98,Return
OR1001,C0662,2024/02/01,3824.02,On Hold
OR1002,C1692,2025/04/11,32429.46,Delivered
OR1003,C0795,2023/07/14,14650.43,Failed
OR1004,C0520,2022/10/30,4653.00,Out for Delivery
OR1005,C0568,2023/05/29,54.00,Pending
OR1006,C0009,2023/11/09,384076.45,Failed
OR1007,C0255,2023/09/14,12071.42,Shipped
OR1008,C0338,2024/06/29,932.20,Partially Delivered
OR1009,C0763,2023/04/26,24899.38,Shipped
OR101,C1787,2024/10/14,63668.95,Delivered
OR1010,C0452,2024/10/22,35481.42,Delivered
OR1011,C0851,2025/04/08,15555.52,On Hold
OR1012,C0660,2023/08/30,72.80,On Hold
OR1013,C1386,2025/01/19,36501.04,Pending
OR1014,C1025,2025/03/28,94543.24,Pending
OR1015,C1979,2024/07/27,3499.46,Return
OR1016,C0837,2022/02/14,6198.94,Shipped
OR1017,C1288,2023/11/15,89926.71,Failed
OR1018,C1161,2025/05/30,5187.28,Refunded
OR1019,C1095,2024/07/18,32685.73,Processing
OR102,C0701,2023/12/21,62740.50,Partially Delivered
OR1020,C1969,2022/03/18,1926.32,Failed
OR1021,C0729,2023/12/26,151333.25,Delivered
OR1022,C0364,2025/05/01,29448.22,Return
OR1023,C0088,2023/04/26,59586.46,Cancelled
OR1024,C0180,2022/02/21,211220.00,Failed
OR1025,C1383,2022/04/01,153016.16,Delivered
OR1026,C1988,2023/08/21,5941.34,Cancelled
OR1027,C0533,2023/09/30,538.27,Return
OR1028,C0707,2023/05/27,7626.46,Partially Shipped
OR1029,C0842,2023/04/12,557.76,Partially Shipped
OR103,C0055,2022/03/31,69551.26,Refunded
OR1030,C0163,2023/03/31,138994.40,Refunded
OR1031,C0235,2022/02/10,158946.00,Confirmed 
OR1032,C0233,2023/11/04,123218.10,Cancelled
OR1033,C1121,2025/01/01,411.82,Confirmed 
