Payment_ID,Order_ID,Payment_Code,Payment_Method,Total_Amount,Payment_Status
1,OR01,Cash & COD,Cash On Delivery,3758.46,Payment Pending
2,OR02,Cash & COD,Card On Delivery,61789.76,Refunded
3,OR03,Cash & COD,Cash On Delivery,36299.59,Failed
4,OR04,Banking,UPI,34317.26,Paid
5,OR05,Banking,UPI,8257.64,Failed
6,OR06,Mobile Wallets,MobiKwik,18380.14,Paid
7,OR07,Card,Credit Card,25514.22,Refunded
8,OR08,Mobile Wallets,Paytm Wallet,31691.52,Refunded
9,OR09,Cash & COD,Cash On Delivery,18562.58,Payment Pending
10,OR10,Cash & COD,Card On Delivery,106755.86,Payment Pending
11,OR100,Banking,UPI,390.88,Paid
12,OR1000,Banking,IMPS,54108.98,Paid
13,OR1001,Card,Prepaid Card,3824.02,Paid
14,OR1002,Cash & COD,Card On Delivery,32429.46,Payment Pending
15,OR1003,Mobile Wallets,Amazon Pay,14650.43,Failed
16,OR1004,Card,Prepaid Card,4653.00,Paid
17,OR1005,Card,Credit Card,54.00,Paid
18,OR1006,Card,Prepaid Card,384076.45,Failed
19,OR1007,Mobile Wallets,Freecharge,12071.42,Paid
20,OR1008,Banking,UPI,932.20,Paid
21,OR1009,Cash & COD,Card On Delivery,24899.38,Payment Pending
22,OR101,Mobile Wallets,Amazon Pay,63668.95,Paid
23,OR1010,Cash & COD,Card On Delivery,35481.42,Payment Pending
24,OR1011,Cash & COD,Card On Delivery,15555.52,Payment Pending
25,OR1012,Card,Credit Card,72.80,Paid
26,OR1013,Card,Prepaid Card,36501.04,Paid
27,OR1014,Card,Credit Card,94543.24,Paid
28,OR1015,Mobile Wallets,PhonePe Wallet,3499.46,Paid
29,OR1016,Banking,EMI Card,6198.94,Paid
30,OR1017,Mobile Wallets,Paytm Wallet,89926.71,Failed
31,OR1018,Mobile Wallets,PhonePe Wallet,5187.28,Refunded
32,OR1019,Mobile Wallets,Amazon Pay,32685.73,Paid
33,OR102,Mobile Wallets,Freecharge,62740.50,Paid
34,OR1020,Banking,IMPS,1926.32,Failed
35,OR1021,Cash & COD,Card On Delivery,151333.25,Payment Pending
36,OR1022,Mobile Wallets,Paytm Wallet,29448.22,Refunded
37,OR1023,Mobile Wallets,MobiKwik,59586.46,Cancelled
38,OR1024,Mobile Wallets,Freecharge,211220.00,Failed
39,OR1025,Cash & COD,Card On Delivery,153016.16,Payment Pending
40,OR1026,Mobile Wallets,Paytm Wallet,5941.34,Cancelled
41,OR1027,Card,Debit Card,538.27,Refunded
42,OR1028,Banking,IMPS,7626.46,Paid
43,OR1029,Banking,EMI Card,557.76,Paid
44,OR103,Mobile Wallets,MobiKwik,69551.26,Refunded
45,OR1030,Banking,IMPS,138994.40,Refunded
46,OR1031,Mobile Wallets,Amazon Pay,158946.00,Paid
47,OR1032,Card,Prepaid Card,123218.10,Cancelled
48,OR1033,Mobile Wallets,PhonePe Wallet,411.82,Paid
