Product_ID,Category_ID,Product_Name,Manufacture_Date,Expiry_Date,Price,GST,Stock,Rating
E1,CA001,Sony Bravia 43 4K Smart TV,2021/05/13,NULL,52999.00,28,754,2
E10,CA001,OnePlus Y1S 32 Smart TV,2022/08/07,NULL,14999.00,28,886,3
E100,CA001,Toshiba 50 4K UHD Smart TV,2022/01/14,NULL,34499.00,28,309,3
E101,CA001,Sony Bravia 55inch 4K UHD Smart TV,2019/04/16,NULL,69990.00,18,110,2
E102,CA001,boAt Rockerz 450 Wireless Headphones,2021/05/05,NULL,1499.00,18,17,4
E103,CA001,JBL Flip 6 Portable Bluetooth Speaker,2024/07/26,NULL,8499.00,18,42,5
E104,CA001,Apple iPad 102inch WiFi 64GB,2017/10/21,NULL,34900.00,18,472,3
E105,CA001,Samsung Galaxy Watch 6 Bluetooth 44mm,2023/06/22,NULL,28999.00,18,336,5
E11,CA001,Zebronics ZebSound Feast 500,2020/07/15,NULL,3499.00,18,433,4
E12,CA001,Sennheiser HD 450BT,2022/11/21,NULL,7990.00,18,266,1
E13,CA001,Mi TV 5X 55 4K UHD,2019/02/22,NULL,46999.00,28,242,2
E14,CA001,Sony SRSXE200,2024/06/17,NULL,9999.00,18,465,5
E15,CA001,Philips TAA4216BK00,2023/05/29,NULL,4299.00,18,514,2
E16,CA001,TCL 40 Full HD Android TV,2019/02/27,NULL,21990.00,28,834,4
E17,CA001,Bose SoundLink Mini II,2021/11/08,NULL,19990.00,18,409,2
E18,CA001,boAt Rockerz 510,2017/10/08,NULL,1899.00,18,640,2
E19,CA001,Sansui 55 4K Android TV,2018/07/18,NULL,35999.00,28,0,1
E2,CA001,JBL Flip 6,2024/07/08,NULL,8999.00,18,839,2
E20,CA001,Sony SRSXB13,2019/07/25,NULL,3499.00,18,841,2
E21,CA001,Noise One Wireless Headphones,2017/01/23,NULL,1499.00,18,492,2
E22,CA001,Kodak 32 HD Ready Smart TV,2018/06/20,NULL,9999.00,28,892,4
E23,CA001,FD T60X Tower Speaker,2019/12/13,NULL,7299.00,18,456,3
E24,CA001,Jabra Elite 45h,2018/01/24,NULL,5999.00,18,313,1
E25,CA001,Panasonic 40 Android TV,2024/03/17,NULL,24499.00,28,615,3
E26,CA001,JBL Charge 5,2017/04/02,NULL,14999.00,18,488,4
E27,CA001,Skullcandy Crusher Evo,2021/10/15,NULL,12999.00,18,161,1
E28,CA001,Hisense 65 4K Smart TV,2021/12/25,NULL,52990.00,28,857,3
E29,CA001,Blaupunkt SBW100 Soundbar,2020/03/29,NULL,4999.00,18,455,4
E3,CA001,Bose QuietComfort 45,2024/02/26,NULL,29499.00,18,663,2
E30,CA001,Realme Buds Air 3 Neo,2024/12/04,NULL,1999.00,18,23,3
E31,CA001,Thomson 43 Android TV,2022/11/27,NULL,20999.00,28,394,4
E32,CA001,Infinity Fuze Pint,2022/05/23,NULL,899.00,18,887,4
E33,CA001,FireBoltt Blast 1400,2023/06/13,NULL,1699.00,18,846,1
E34,CA001,Xiaomi Smart TV X 43,2018/04/22,NULL,27499.00,28,949,4
E35,CA001,Philips SPA8000B,2018/05/02,NULL,10499.00,18,346,5
E36,CA001,Logitech H111 Wired,2017/03/10,NULL,799.00,18,646,2
E37,CA001,LG 32LM563BPTC 32 TV,2019/01/14,NULL,15299.00,28,436,5
E38,CA001,Zebronics ZebJuke Bar 9500WS,2023/08/29,NULL,12999.00,18,820,1
E39,CA001,JBL Tune 760NC,2020/03/04,NULL,6999.00,18,960,1
E4,CA001,LG OLED55A1PTZ 55 OLED TV,2020/05/16,NULL,119990.00,28,655,5
E40,CA001,Samsung Frame 55 QLED TV,2018/10/23,NULL,91999.00,28,786,1
E41,CA001,Sony HTS20R Soundbar,2018/12/24,NULL,17990.00,18,484,1
E42,CA001,Boult Audio ProBass,2021/02/09,NULL,1299.00,18,354,4
E43,CA001,VU 50 4K Ultra TV,2023/05/12,NULL,31999.00,28,509,1
E44,CA001,boAt Aavante Bar 2000,2021/07/06,NULL,6499.00,18,685,3
E45,CA001,Leaf Bass Wireless Headphones,2022/01/05,NULL,1399.00,18,369,2
E46,CA001,Intex LED4012 40 TV,2020/12/13,NULL,19499.00,28,770,3
E47,CA001,Mivi Roam 2,2018/07/10,NULL,1199.00,18,677,4
E48,CA001,Boat Nirvanaa 751 ANC,2017/05/17,NULL,3999.00,18,444,3
E49,CA001,Onida 43UIR 43 4K TV,2019/03/22,NULL,25999.00,28,235,4
E5,CA001,boAt Stone 350,2024/01/11,NULL,1799.00,18,641,3
E50,CA001,Samsung HWT42E Soundbar,2017/05/10,NULL,7490.00,18,778,5
E51,CA001,Zebronics ZebRush,2020/07/22,NULL,1299.00,18,77,1
E52,CA001,Sony Bravia 65 XR Series,2021/10/09,NULL,17999.00,28,843,5
E53,CA001,JBL PartyBox 110,2019/03/02,NULL,34999.00,18,951,5
E54,CA001,pTron Studio OverEar,2021/06/25,NULL,1299.00,18,752,1
E55,CA001,TCL P725 55 4K UHD TV,2019/10/21,NULL,38999.00,28,884,5
E56,CA001,Creative Pebble V3,2021/09/10,NULL,3999.00,18,592,2
E57,CA001,Redmi SonicBass,2022/03/14,NULL,999.00,18,744,1
E58,CA001,Toshiba 43C350MP 43 TV,2021/04/28,NULL,26490.00,28,143,2
E59,CA001,LG SN4 Soundbar,2017/02/02,NULL,13499.00,18,73,5
E6,CA001,Realme Buds Wireless 2,2020/01/06,NULL,2499.00,18,911,4
E60,CA001,JBL Tune 510BT,2018/05/04,NULL,3299.00,18,141,1
E61,CA001,iFFALCON 40 Full HD TV,2024/06/25,NULL,17499.00,28,998,3
E62,CA001,boAt Stone 1000,2023/12/04,NULL,2999.00,18,151,5
E63,CA001,Boult Audio Curve,2018/12/10,NULL,1199.00,18,475,3
E64,CA001,Xiaomi 32 5A Series TV,2024/05/31,NULL,13999.00,28,216,4
E65,CA001,Zebronics DJ 21XL,2017/07/21,NULL,5499.00,18,283,1
E66,CA001,Sony MDRZX110A,2019/11/13,NULL,899.00,18,550,1
E67,CA001,Acer Boundless 43 Android TV,2018/05/24,NULL,23499.00,28,705,5
E68,CA001,LG XBOOM ON7,2020/01/30,NULL,29990.00,18,481,5
E69,CA001,Philips SHB3075BK00,2017/07/31,NULL,2499.00,18,541,1
E7,CA001,Samsung Crystal 4K UHD 50 TV,2019/09/16,NULL,43990.00,28,566,4
E70,CA001,Lloyd 32 HD LED TV,2023/01/27,NULL,11499.00,28,130,1
E71,CA001,Portronics SoundDrum 1,2018/08/02,NULL,2199.00,18,732,3
E72,CA001,OnePlus Bullets Wireless Z2,2024/09/23,NULL,1999.00,18,940,3
E73,CA001,Haier 43 Smart Android TV,2019/02/16,NULL,22490.00,28,796,2
E74,CA001,Sony MHCV13 Party Speaker,2022/04/22,NULL,18990.00,18,482,4
E75,CA001,Realme Buds Wireless 3,2021/10/08,NULL,1799.00,18,273,2
E76,CA001,Micromax 40 Smart Android TV,2022/12/27,NULL,18990.00,28,37,3
E77,CA001,Blaupunkt SBA01 Soundbar,2024/09/03,NULL,3499.00,18,81,2
E78,CA001,Boult Audio Anchor,2020/09/16,NULL,3299.00,18,73,5
E79,CA001,Akai 43 Full HD Smart TV,2023/09/18,NULL,20999.00,28,35,5
E8,CA001,Marshall Emberton,2021/02/09,NULL,16999.00,18,524,4
E80,CA001,Infinity Clubz Mini,2022/03/02,NULL,1099.00,18,362,4
E81,CA001,Philips TAH8506BK ANC,2024/04/08,NULL,9499.00,18,364,5
E82,CA001,Kodak 55 4K Ultra HD TV,2023/12/01,NULL,31499.00,28,929,5
E83,CA001,boAt Aavante Bar 1160,2023/03/05,NULL,2799.00,18,61,2
E84,CA001,Sennheiser Momentum 4,2017/10/03,NULL,34999.00,18,986,2
E85,CA001,Samsung QLED 65 QA65Q70A TV,2024/06/11,NULL,126499.00,28,820,1
E86,CA001,Zebronics BT4440RUCF,2018/11/22,NULL,4599.00,18,598,1
E87,CA001,JBL Endurance Run BT,2024/02/26,NULL,2499.00,18,296,2
E88,CA001,Realme Smart TV X Full HD 40,2019/07/29,NULL,21999.00,28,685,3
E89,CA001,FD F210X,2017/09/12,NULL,2199.00,18,387,2
E9,CA001,Sony WH1000XM5,2019/02/04,NULL,34990.00,18,96,4
E90,CA001,Redmi Buds 4,2022/02/06,NULL,2199.00,18,58,2
E91,CA001,Sansui 32 Smart TV,2021/07/24,NULL,10999.00,28,547,2
E92,CA001,JBL Go 3,2020/09/24,NULL,2499.00,18,919,2
E93,CA001,Soundcore Life Q10,2019/02/04,NULL,3999.00,18,410,3
E94,CA001,Daiwa 40 Full HD LED TV,2022/04/21,NULL,17499.00,28,680,3
E95,CA001,Boat Stone 650,2022/04/17,NULL,1899.00,18,85,2
E96,CA001,pTron Tangent Evo,2024/02/29,NULL,799.00,18,876,5
E97,CA001,Kevin 32 HD Ready LED TV,2023/01/05,NULL,9299.00,28,173,4
E98,CA001,Philips BT6620B,2021/07/16,NULL,4999.00,18,677,4
E99,CA001,ZEBRONICS ZebRush Wired Gaming,2022/07/17,NULL,1299.00,18,626,5
FA1,CA002,Allen Solly Mens Polo TShirt,2021/05/11,NULL,899.00,5,226,1
FA10,CA002,Levis 512 Slim Fit Jeans,2019/12/07,NULL,2999.00,12,982,3
FA100,CA002,Raymond Mens Nehru Jacket,2019/03/24,NULL,2999.00,12,138,5
FA101,CA002,Levis 511 Slim Fit Mens Jeans,2024/09/26,NULL,3299.00,12,542,4
FA102,CA002,BIBA Womens Cotton Printed Kurti,2020/05/31,NULL,1599.00,12,206,4
